交易日期,品种代码,昨结算,今开盘,最高价,最低价,今收盘,今结算,涨跌1,涨跌2,成交量(手),空盘量,增减量,成交额(万元),交割结算价,
2018-01-02,AP805,8095.00,8088.00,8106.00,8086.00,8101.00,8098.00,6.00,3.00,16426,12360,-1394,133013.09,0.00,
2018-01-02,AP807,8028.00,8030.00,8060.00,8016.00,8020.00,8043.00,-8.00,15.00,168,954,-48,1351.17,0.00,
2018-01-02,AP810,7165.00,7163.00,7218.00,7163.00,7187.00,7191.00,22.00,26.00,3940,4590,-1010,28330.70,0.00,
2018-01-02,AP811,7138.00,7168.00,7179.00,7151.00,7161.00,7164.00,23.00,26.00,168,498,-56,1203.60,0.00,
2018-01-02,AP812,7177.00,7204.00,7218.00,7179.00,7189.00,7198.00,12.00,21.00,188,346,-104,1353.23,0.00,
2018-01-02,CF801,14705.00,14650.00,14740.00,14650.00,14710.00,14715.00,5.00,10.00,1048,26832,-532,7711.23,14705.00,
2018-01-02,CF803,14725.00,14795.00,14800.00,14795.00,14795.00,14795.00,70.00,70.00,56,576,18,414.31,0.00,
2018-01-02,CF805,14995.00,14910.00,15045.00,14910.00,15040.00,15010.00,45.00,15.00,69604,287494,-4400,522314.81,0.00,
2018-01-02,CF807,15010.00,0.00,0.00,0.00,0.00,15110.00,100.00,100.00,0,116,0,0.00,0.00,
2018-01-02,CF809,15340.00,15240.00,15420.00,15240.00,15405.00,15385.00,65.00,45.00,4292,38088,-128,33016.72,0.00,
2018-01-02,CF811,15500.00,0.00,0.00,0.00,0.00,15500.00,0.00,0.00,0,34,0,0.00,0.00,
2018-01-02,CY801,22805.00,22800.00,22800.00,22800.00,22800.00,22800.00,-5.00,-5.00,4,18,-4,45.60,23050.00,
2018-01-02,CY802,22415.00,0.00,0.00,0.00,0.00,22410.00,-5.00,-5.00,0,0,0,0.00,0.00,
2018-01-02,CY803,23210.00,22600.00,23500.00,22600.00,23500.00,23090.00,290.00,-120.00,10,0,0,115.45,0.00,
2018-01-02,CY804,23245.00,0.00,0.00,0.00,0.00,23125.00,-120.00,-120.00,0,0,0,0.00,0.00,
2018-01-02,CY805,23100.00,22800.00,23215.00,22800.00,23070.00,23145.00,-30.00,45.00,18,164,8,208.33,0.00,
2018-01-02,CY806,22650.00,0.00,0.00,0.00,0.00,22695.00,45.00,45.00,0,0,0,0.00,0.00,
2018-01-02,CY807,23250.00,0.00,0.00,0.00,0.00,23295.00,45.00,45.00,0,0,0,0.00,0.00,
2018-01-02,CY808,22765.00,0.00,0.00,0.00,0.00,22810.00,45.00,45.00,0,0,0,0.00,0.00,
2018-01-02,CY809,23235.00,0.00,0.00,0.00,0.00,23235.00,0.00,0.00,0,60,0,0.00,0.00,
2018-01-02,CY810,23685.00,0.00,0.00,0.00,0.00,23730.00,45.00,45.00,0,2,0,0.00,0.00,
2018-01-02,CY811,22830.00,0.00,0.00,0.00,0.00,22875.00,45.00,45.00,0,0,0,0.00,0.00,
2018-01-02,CY812,22830.00,0.00,0.00,0.00,0.00,22875.00,45.00,45.00,0,0,0,0.00,0.00,
2018-01-02,FG801,1534.00,1570.00,1570.00,1525.00,1530.00,1541.00,-4.00,7.00,1432,11906,-1256,4412.32,1517.00,
2018-01-02,FG802,1492.00,1506.00,1508.00,1506.00,1508.00,1507.00,16.00,15.00,6,6,-2,18.09,0.00,
2018-01-02,FG803,1473.00,1462.00,1462.00,1462.00,1462.00,1462.00,-11.00,-11.00,4,8,-4,11.70,0.00,
2018-01-02,FG804,1474.00,1467.00,1467.00,1455.00,1455.00,1461.00,-19.00,-13.00,4,16,0,11.69,0.00,
2018-01-02,FG805,1475.00,1487.00,1487.00,1455.00,1462.00,1465.00,-13.00,-10.00,246422,390406,-39624,722202.97,0.00,
2018-01-02,FG806,1492.00,1490.00,1490.00,1472.00,1489.00,1483.00,-3.00,-9.00,52,322,0,154.22,0.00,
2018-01-02,FG807,1469.00,1465.00,1465.00,1462.00,1462.00,1464.00,-7.00,-5.00,4,12,2,11.71,0.00,
2018-01-02,FG808,1476.00,1470.00,1470.00,1470.00,1470.00,1470.00,-6.00,-6.00,2,16,2,5.88,0.00,
2018-01-02,FG809,1482.00,1489.00,1492.00,1464.00,1473.00,1475.00,-9.00,-7.00,10808,45096,-1066,31879.18,0.00,
2018-01-02,FG810,1488.00,0.00,0.00,0.00,0.00,1480.00,-8.00,-8.00,0,10,0,0.00,0.00,
2018-01-02,FG811,1486.00,0.00,0.00,0.00,0.00,1484.00,-2.00,-2.00,0,4,0,0.00,0.00,
2018-01-02,FG812,1488.00,0.00,0.00,0.00,0.00,1488.00,0.00,0.00,0,0,0,0.00,0.00,
2018-01-02,JR801,3504.00,3645.00,3645.00,3645.00,3645.00,3645.00,141.00,141.00,2,0,-2,14.58,3402.00,
2018-01-02,JR803,3293.00,0.00,0.00,0.00,0.00,3425.00,132.00,132.00,0,2,0,0.00,0.00,
2018-01-02,JR805,3652.00,0.00,0.00,0.00,0.00,3799.00,147.00,147.00,0,0,0,0.00,0.00,
2018-01-02,JR807,3338.00,0.00,0.00,0.00,0.00,3338.00,0.00,0.00,0,6,0,0.00,0.00,
2018-01-02,JR809,3392.00,0.00,0.00,0.00,0.00,3528.00,136.00,136.00,0,0,0,0.00,0.00,
2018-01-02,JR811,3435.00,0.00,0.00,0.00,0.00,3573.00,138.00,138.00,0,0,0,0.00,0.00,
2018-01-02,LR801,3307.00,3440.00,3440.00,3440.00,3440.00,3440.00,133.00,133.00,2,0,-2,13.76,3218.00,
2018-01-02,LR803,3347.00,0.00,0.00,0.00,0.00,3482.00,135.00,135.00,0,0,0,0.00,0.00,
2018-01-02,LR805,3088.00,0.00,0.00,0.00,0.00,3088.00,0.00,0.00,0,2,0,0.00,0.00,
2018-01-02,LR807,3212.00,0.00,0.00,0.00,0.00,3341.00,129.00,129.00,0,0,0,0.00,0.00,
2018-01-02,LR809,3212.00,0.00,0.00,0.00,0.00,3341.00,129.00,129.00,0,0,0,0.00,0.00,
2018-01-02,LR811,3212.00,0.00,0.00,0.00,0.00,3341.00,129.00,129.00,0,0,0,0.00,0.00,
2018-01-02,MA801,3172.00,3280.00,3328.00,3080.00,3250.00,3272.00,78.00,100.00,3664,12262,-3446,11988.58,3240.00,
2018-01-02,MA802,2954.00,2960.00,2996.00,2955.00,2985.00,2974.00,31.00,20.00,78,240,-24,231.95,0.00,
2018-01-02,MA803,2937.00,2950.00,2990.00,2920.00,2986.00,2974.00,49.00,37.00,588,3340,218,1748.47,0.00,
2018-01-02,MA804,2897.00,2962.00,2962.00,2949.00,2949.00,2956.00,52.00,59.00,4,18,-2,11.82,0.00,
2018-01-02,MA805,2857.00,2853.00,2940.00,2851.00,2923.00,2903.00,66.00,46.00,826562,619616,18184,2399585.87,0.00,
2018-01-02,MA806,2830.00,0.00,0.00,0.00,0.00,2893.00,63.00,63.00,0,0,0,0.00,0.00,
2018-01-02,MA807,2784.00,0.00,0.00,0.00,0.00,2820.00,36.00,36.00,0,4,0,0.00,0.00,
2018-01-02,MA808,2766.00,0.00,0.00,0.00,0.00,2818.00,52.00,52.00,0,4,0,0.00,0.00,
2018-01-02,MA809,2744.00,2740.00,2812.00,2739.00,2803.00,2785.00,59.00,41.00,18992,46826,1182,52889.62,0.00,
2018-01-02,MA810,2751.00,0.00,0.00,0.00,0.00,2775.00,24.00,24.00,0,6,0,0.00,0.00,
2018-01-02,MA811,2758.00,0.00,0.00,0.00,0.00,2795.00,37.00,37.00,0,4,0,0.00,0.00,
2018-01-02,MA812,2749.00,0.00,0.00,0.00,0.00,2749.00,0.00,0.00,0,0,0,0.00,0.00,
2018-01-02,OI801,6220.00,6298.00,6348.00,6294.00,6338.00,6336.00,118.00,116.00,1328,13514,-1194,8414.59,6312.00,
2018-01-02,OI803,6468.00,6588.00,6588.00,6354.00,6454.00,6466.00,-14.00,-2.00,12,2,0,77.58,0.00,
2018-01-02,OI805,6416.00,6442.00,6550.00,6442.00,6538.00,6526.00,122.00,110.00,106312,278554,-8882,693822.41,0.00,
2018-01-02,OI807,6618.00,0.00,0.00,0.00,0.00,6684.00,66.00,66.00,0,154,0,0.00,0.00,
2018-01-02,OI809,6666.00,6698.00,6792.00,6682.00,6778.00,6764.00,112.00,98.00,11420,52024,2230,77233.44,0.00,
2018-01-02,OI811,6738.00,0.00,0.00,0.00,0.00,6738.00,0.00,0.00,0,2,0,0.00,0.00,
2018-01-02,PM801,2532.00,0.00,0.00,0.00,0.00,2532.00,0.00,0.00,0,0,0,0.00,2536.00,
2018-01-02,PM803,2474.00,0.00,0.00,0.00,0.00,2474.00,0.00,0.00,0,0,0,0.00,0.00,
2018-01-02,PM805,2664.00,0.00,0.00,0.00,0.00,2664.00,0.00,0.00,0,2,0,0.00,0.00,
2018-01-02,PM807,2664.00,0.00,0.00,0.00,0.00,2664.00,0.00,0.00,0,0,0,0.00,0.00,
2018-01-02,PM809,2664.00,0.00,0.00,0.00,0.00,2664.00,0.00,0.00,0,0,0,0.00,0.00,
2018-01-02,PM811,2664.00,0.00,0.00,0.00,0.00,2664.00,0.00,0.00,0,0,0,0.00,0.00,
2018-01-02,RI801,2684.00,0.00,0.00,0.00,0.00,2684.00,0.00,0.00,0,0,0,0.00,2740.00,
2018-01-02,RI803,2851.00,0.00,0.00,0.00,0.00,2851.00,0.00,0.00,0,0,0,0.00,0.00,
2018-01-02,RI805,2669.00,0.00,0.00,0.00,0.00,2669.00,0.00,0.00,0,0,0,0.00,0.00,
2018-01-02,RI807,2769.00,0.00,0.00,0.00,0.00,2769.00,0.00,0.00,0,2,0,0.00,0.00,
2018-01-02,RI809,2736.00,0.00,0.00,0.00,0.00,2736.00,0.00,0.00,0,0,0,0.00,0.00,
2018-01-02,RI811,2726.00,0.00,0.00,0.00,0.00,2726.00,0.00,0.00,0,0,0,0.00,0.00,
2018-01-02,RM801,2366.00,2376.00,2400.00,2338.00,2338.00,2366.00,-28.00,0.00,596,27522,-384,1410.38,2376.00,
2018-01-02,RM803,2330.00,2252.00,2345.00,2252.00,2345.00,2299.00,15.00,-31.00,4,15672,0,9.19,0.00,
2018-01-02,RM805,2310.00,2302.00,2306.00,2279.00,2288.00,2291.00,-22.00,-19.00,276174,606340,9302,632713.23,0.00,
2018-01-02,RM807,2315.00,2353.00,2353.00,2293.00,2294.00,2293.00,-21.00,-22.00,2024,41850,1998,4641.31,0.00,
2018-01-02,RM808,2298.00,2310.00,2310.00,2308.00,2308.00,2309.00,10.00,11.00,8000,35414,8000,18472.00,0.00,
2018-01-02,RM809,2302.00,2298.00,2300.00,2282.00,2290.00,2291.00,-12.00,-11.00,29446,104474,11592,67451.19,0.00,
2018-01-02,RM811,2248.00,2239.00,2244.00,2233.00,2239.00,2239.00,-9.00,-9.00,13700,51302,13636,30671.92,0.00,
2018-01-02,RS807,5029.00,0.00,0.00,0.00,0.00,5029.00,0.00,0.00,0,2,0,0.00,0.00,
2018-01-02,RS808,5257.00,0.00,0.00,0.00,0.00,5257.00,0.00,0.00,0,0,0,0.00,0.00,
2018-01-02,RS809,5257.00,0.00,0.00,0.00,0.00,5257.00,0.00,0.00,0,0,0,0.00,0.00,
2018-01-02,RS811,5257.00,0.00,0.00,0.00,0.00,5257.00,0.00,0.00,0,0,0,0.00,0.00,
2018-01-02,SF801,9084.00,8900.00,9038.00,8674.00,9000.00,8922.00,-84.00,-162.00,330,3202,-188,1471.98,8652.00,
2018-01-02,SF802,7418.00,7000.00,7426.00,6972.00,7076.00,7044.00,-342.00,-374.00,4614,2656,-522,16247.49,0.00,
2018-01-02,SF803,6966.00,6998.00,6998.00,6760.00,6828.00,6856.00,-138.00,-110.00,14,6,2,47.99,0.00,
2018-01-02,SF804,6802.00,6718.00,6798.00,6548.00,6768.00,6700.00,-34.00,-102.00,88,38,0,294.74,0.00,
2018-01-02,SF805,6516.00,6262.00,6534.00,6250.00,6466.00,6424.00,-50.00,-92.00,309492,211072,13098,994126.98,0.00,
2018-01-02,SF806,6586.00,6512.00,6512.00,6246.00,6502.00,6420.00,-84.00,-166.00,6,2,2,19.26,0.00,
2018-01-02,SF807,6592.00,0.00,0.00,0.00,0.00,6426.00,-166.00,-166.00,0,0,0,0.00,0.00,
2018-01-02,SF808,6576.00,0.00,0.00,0.00,0.00,6410.00,-166.00,-166.00,0,2,0,0.00,0.00,
2018-01-02,SF809,6358.00,6316.00,6374.00,6112.00,6320.00,6262.00,-38.00,-96.00,1762,3838,412,5516.07,0.00,
2018-01-02,SF810,6550.00,0.00,0.00,0.00,0.00,6452.00,-98.00,-98.00,0,0,0,0.00,0.00,
2018-01-02,SF811,6720.00,0.00,0.00,0.00,0.00,6620.00,-100.00,-100.00,0,0,0,0.00,0.00,
2018-01-02,SF812,6918.00,0.00,0.00,0.00,0.00,6814.00,-104.00,-104.00,0,0,0,0.00,0.00,
2018-01-02,SM801,8522.00,8402.00,8650.00,8100.00,8400.00,8496.00,-122.00,-26.00,2630,16148,-1590,11170.92,8466.00,
2018-01-02,SM802,8062.00,0.00,0.00,0.00,0.00,8038.00,-24.00,-24.00,0,0,0,0.00,0.00,
2018-01-02,SM803,8668.00,0.00,0.00,0.00,0.00,8642.00,-26.00,-26.00,0,0,0,0.00,0.00,
2018-01-02,SM804,8256.00,0.00,0.00,0.00,0.00,8232.00,-24.00,-24.00,0,0,0,0.00,0.00,
2018-01-02,SM805,7254.00,7150.00,7330.00,7084.00,7256.00,7256.00,2.00,2.00,118350,77010,3968,429325.70,0.00,
2018-01-02,SM806,7566.00,0.00,0.00,0.00,0.00,7568.00,2.00,2.00,0,0,0,0.00,0.00,
2018-01-02,SM807,6706.00,0.00,0.00,0.00,0.00,6708.00,2.00,2.00,0,2,0,0.00,0.00,
2018-01-02,SM808,7028.00,0.00,0.00,0.00,0.00,7030.00,2.00,2.00,0,2,0,0.00,0.00,
2018-01-02,SM809,7090.00,7136.00,7140.00,6972.00,7110.00,7084.00,20.00,-6.00,690,714,-62,2443.75,0.00,
2018-01-02,SM810,6878.00,0.00,0.00,0.00,0.00,6872.00,-6.00,-6.00,0,0,0,0.00,0.00,
2018-01-02,SM811,6710.00,0.00,0.00,0.00,0.00,6704.00,-6.00,-6.00,0,2,0,0.00,0.00,
2018-01-02,SM812,7092.00,0.00,0.00,0.00,0.00,7092.00,0.00,0.00,0,0,0,0.00,0.00,
2018-01-02,SR801,6194.00,6297.00,6410.00,6190.00,6230.00,6253.00,36.00,59.00,4432,99576,-3270,27711.24,6245.00,
2018-01-02,SR803,6075.00,6116.00,6116.00,6054.00,6058.00,6080.00,-17.00,5.00,20,1780,-6,121.60,0.00,
2018-01-02,SR805,5938.00,5923.00,5965.00,5885.00,5897.00,5921.00,-41.00,-17.00,328678,476462,22618,1945948.24,0.00,
2018-01-02,SR807,5917.00,5913.00,5913.00,5913.00,5913.00,5913.00,-4.00,-4.00,2,250,0,11.83,0.00,
2018-01-02,SR809,5929.00,5944.00,5951.00,5872.00,5882.00,5913.00,-47.00,-16.00,17750,62780,4490,104949.78,0.00,
2018-01-02,SR811,5911.00,0.00,0.00,0.00,0.00,5911.00,0.00,0.00,0,166,0,0.00,0.00,
2018-01-02,SR901,5881.00,5895.00,5900.00,5838.00,5867.00,5868.00,-14.00,-13.00,1126,11662,838,6607.27,0.00,
2018-01-02,SR903,5848.00,5824.00,5824.00,5824.00,5824.00,5824.00,-24.00,-24.00,2,36,2,11.65,0.00,
2018-01-02,SR905,5826.00,5838.00,5860.00,5810.00,5838.00,5829.00,12.00,3.00,264,1272,126,1538.91,0.00,
2018-01-02,TA801,5514.00,5536.00,5608.00,5522.00,5608.00,5574.00,94.00,60.00,8642,104018,-3872,24082.83,5454.00,
2018-01-02,TA802,5472.00,0.00,0.00,0.00,0.00,5512.00,40.00,40.00,0,8,0,0.00,0.00,
2018-01-02,TA803,5504.00,5518.00,5562.00,5492.00,5560.00,5528.00,56.00,24.00,60282,151408,21358,166609.82,0.00,
2018-01-02,TA804,5510.00,0.00,0.00,0.00,0.00,5562.00,52.00,52.00,0,8,0,0.00,0.00,
2018-01-02,TA805,5508.00,5552.00,5578.00,5496.00,5576.00,5540.00,68.00,32.00,661906,1039766,66578,1833470.21,0.00,
2018-01-02,TA806,5504.00,0.00,0.00,0.00,0.00,5556.00,52.00,52.00,0,2,0,0.00,0.00,
2018-01-02,TA807,5478.00,0.00,0.00,0.00,0.00,5530.00,52.00,52.00,0,6,0,0.00,0.00,
2018-01-02,TA808,5496.00,0.00,0.00,0.00,0.00,5540.00,44.00,44.00,0,6,0,0.00,0.00,
2018-01-02,TA809,5496.00,5526.00,5576.00,5494.00,5576.00,5536.00,80.00,40.00,22716,115624,532,62862.59,0.00,
2018-01-02,TA810,5490.00,0.00,0.00,0.00,0.00,5558.00,68.00,68.00,0,2,0,0.00,0.00,
2018-01-02,TA811,5524.00,5612.00,5612.00,5610.00,5610.00,5612.00,86.00,88.00,4,14,0,11.22,0.00,
2018-01-02,TA812,5466.00,5670.00,5670.00,5500.00,5654.00,5650.00,188.00,184.00,20,16,16,56.49,0.00,
