交易日期,合约代码,昨结算,今开盘,最高价,最低价,今收盘,今结算,涨跌1,涨跌2,成交量(手),持仓量,增减量,成交额(万元),交割结算价
2023-01-03,AP301,8646.00,8800.00,9345.00,8661.00,9001.00,9021.00,355.00,375.00,144,107,-107,1298.97,8689.00
2023-01-03,AP303,8284.00,8305.00,8586.00,8300.00,8586.00,8486.00,302.00,202.00,8129,29539,-2084,68985.41,
2023-01-03,AP304,8058.00,8058.00,8484.00,8058.00,8484.00,8376.00,426.00,318.00,2342,21181,-859,19616.25,
2023-01-03,AP305,7872.00,7920.00,8358.00,7915.00,8351.00,8226.00,479.00,354.00,269484,206088,34044,2216829.19,
2023-01-03,AP310,8175.00,8244.00,8352.00,8199.00,8336.00,8295.00,161.00,120.00,4537,23354,-1320,37636.45,
2023-01-03,AP311,7993.00,8070.00,8190.00,8058.00,8178.00,8140.00,185.00,147.00,107,10066,-15,871.00,
2023-01-03,AP312,8067.00,8211.00,8211.00,8190.00,8191.00,8195.00,124.00,128.00,5,4212,-1,40.97,
2023-01-03,CF301,14215.00,14260.00,14380.00,14015.00,14370.00,14300.00,155.00,85.00,7446,50676,-6504,53241.14,14085.00
2023-01-03,CF303,14175.00,14250.00,14365.00,13960.00,14320.00,14185.00,145.00,10.00,50282,155842,-495,356647.26,
2023-01-03,CF305,14210.00,14290.00,14395.00,13985.00,14360.00,14225.00,150.00,15.00,542466,765095,14472,3858626.09,
2023-01-03,CF307,14245.00,14315.00,14425.00,14020.00,14380.00,14210.00,135.00,-35.00,13644,75471,-12,96956.98,
2023-01-03,CF309,14385.00,14445.00,14575.00,14175.00,14540.00,14400.00,155.00,15.00,51320,108336,706,369539.59,
2023-01-03,CF311,14520.00,14585.00,14700.00,14330.00,14655.00,14535.00,135.00,15.00,538,4005,65,3910.32,
2023-01-03,CJ301,9600.00,8645.00,9800.00,8645.00,9750.00,9620.00,150.00,20.00,142,209,-677,683.10,9760.00
2023-01-03,CJ303,9895.00,9940.00,10120.00,9905.00,10065.00,10050.00,170.00,155.00,296,2154,48,1487.50,
2023-01-03,CJ305,10195.00,10245.00,10445.00,10235.00,10380.00,10370.00,185.00,175.00,35395,44313,534,183494.35,
2023-01-03,CJ307,10285.00,10335.00,10455.00,10335.00,10440.00,10415.00,155.00,130.00,272,663,189,1416.78,
2023-01-03,CJ309,10370.00,10450.00,10595.00,10450.00,10565.00,10540.00,195.00,170.00,1129,3462,463,5950.91,
2023-01-03,CJ312,10995.00,11165.00,11165.00,11085.00,11085.00,11115.00,90.00,120.00,9,102,2,50.02,
2023-01-03,CY301,20815.00,21240.00,21240.00,20665.00,21145.00,20925.00,330.00,110.00,9,560,-4,94.17,20835.00
2023-01-03,CY302,21955.00,0.00,0.00,0.00,0.00,21955.00,0.00,0.00,0,1,0,0.00,
2023-01-03,CY303,21055.00,0.00,0.00,0.00,0.00,21055.00,0.00,0.00,0,1,0,0.00,
2023-01-03,CY304,21155.00,0.00,0.00,0.00,0.00,21155.00,0.00,0.00,0,3,0,0.00,
2023-01-03,CY305,21555.00,21660.00,21845.00,21350.00,21750.00,21635.00,195.00,80.00,1783,2766,29,19288.06,
2023-01-03,CY306,20860.00,0.00,0.00,0.00,0.00,20875.00,15.00,15.00,0,2,0,0.00,
2023-01-03,CY307,20870.00,0.00,0.00,0.00,0.00,20945.00,75.00,75.00,0,0,0,0.00,
2023-01-03,CY308,21100.00,0.00,0.00,0.00,0.00,21150.00,50.00,50.00,0,1,0,0.00,
2023-01-03,CY309,21810.00,21935.00,21935.00,21935.00,21935.00,21935.00,125.00,125.00,1,24,0,10.97,
2023-01-03,CY310,21255.00,0.00,0.00,0.00,0.00,21255.00,0.00,0.00,0,0,0,0.00,
2023-01-03,CY311,21905.00,0.00,0.00,0.00,0.00,21905.00,0.00,0.00,0,5,0,0.00,
2023-01-03,CY312,21760.00,0.00,0.00,0.00,0.00,21760.00,0.00,0.00,0,0,0,0.00,
2023-01-03,FG301,1501.00,1560.00,1600.00,1555.00,1591.00,1579.00,90.00,78.00,1589,1641,-1573,5019.32,1496.00
2023-01-03,FG302,1584.00,1590.00,1616.00,1570.00,1607.00,1594.00,23.00,10.00,15960,30203,-13594,50895.31,
2023-01-03,FG303,1590.00,1598.00,1622.00,1575.00,1611.00,1609.00,21.00,19.00,20626,108165,782,66365.11,
2023-01-03,FG304,1653.00,1659.00,1687.00,1638.00,1674.00,1673.00,21.00,20.00,10129,68592,5225,33892.97,
2023-01-03,FG305,1647.00,1654.00,1684.00,1631.00,1672.00,1663.00,25.00,16.00,794206,771385,33956,2641981.91,
2023-01-03,FG306,1693.00,1715.00,1787.00,1678.00,1715.00,1702.00,22.00,9.00,3433,16457,1844,11688.92,
2023-01-03,FG307,1678.00,1688.00,1713.00,1663.00,1698.00,1692.00,20.00,14.00,285,7993,-44,964.48,
2023-01-03,FG308,1721.00,1710.00,1756.00,1708.00,1737.00,1739.00,16.00,18.00,132,5597,-29,459.16,
2023-01-03,FG309,1706.00,1722.00,1737.00,1691.00,1721.00,1720.00,15.00,14.00,37362,105243,4680,128525.14,
2023-01-03,FG310,1734.00,1734.00,1766.00,1716.00,1747.00,1751.00,13.00,17.00,258,3542,69,903.42,
2023-01-03,FG311,1717.00,1713.00,1748.00,1702.00,1732.00,1737.00,15.00,20.00,240,2097,70,833.53,
2023-01-03,FG312,1737.00,1731.00,1759.00,1714.00,1742.00,1744.00,5.00,7.00,51,9024,7,177.94,
2023-01-03,JR301,2758.00,0.00,0.00,0.00,0.00,2758.00,0.00,0.00,0,0,0,0.00,2838.00
2023-01-03,JR303,2662.00,0.00,0.00,0.00,0.00,2662.00,0.00,0.00,0,0,0,0.00,
2023-01-03,JR305,2662.00,0.00,0.00,0.00,0.00,2662.00,0.00,0.00,0,0,0,0.00,
2023-01-03,JR307,2662.00,0.00,0.00,0.00,0.00,2662.00,0.00,0.00,0,0,0,0.00,
2023-01-03,JR309,2662.00,0.00,0.00,0.00,0.00,2662.00,0.00,0.00,0,0,0,0.00,
2023-01-03,JR311,2662.00,0.00,0.00,0.00,0.00,2662.00,0.00,0.00,0,0,0,0.00,
2023-01-03,LR301,2525.00,0.00,0.00,0.00,0.00,2525.00,0.00,0.00,0,0,0,0.00,2525.00
2023-01-03,LR303,2360.00,0.00,0.00,0.00,0.00,2360.00,0.00,0.00,0,0,0,0.00,
2023-01-03,LR305,2360.00,0.00,0.00,0.00,0.00,2360.00,0.00,0.00,0,0,0,0.00,
2023-01-03,LR307,2360.00,0.00,0.00,0.00,0.00,2360.00,0.00,0.00,0,0,0,0.00,
2023-01-03,LR309,2360.00,0.00,0.00,0.00,0.00,2360.00,0.00,0.00,0,0,0,0.00,
2023-01-03,LR311,2360.00,0.00,0.00,0.00,0.00,2360.00,0.00,0.00,0,0,0,0.00,
2023-01-03,MA301,2572.00,2625.00,2752.00,2538.00,2651.00,2630.00,79.00,58.00,672,2479,-319,1767.04,2556.00
2023-01-03,MA302,2595.00,2642.00,2689.00,2611.00,2667.00,2650.00,72.00,55.00,75482,229933,-46095,200030.41,
2023-01-03,MA303,2601.00,2661.00,2690.00,2625.00,2672.00,2660.00,71.00,59.00,90859,388088,32783,241725.49,
2023-01-03,MA304,2591.00,2656.00,2688.00,2629.00,2674.00,2665.00,83.00,74.00,22947,58509,18997,61154.86,
2023-01-03,MA305,2605.00,2656.00,2683.00,2623.00,2669.00,2654.00,64.00,49.00,1094992,1072681,19670,2906511.16,
2023-01-03,MA306,2589.00,2651.00,2686.00,2630.00,2674.00,2660.00,85.00,71.00,636,37540,-238,1691.83,
